page_id;page_title;page_ns;revision_id;timestamp;contributor_id;contributor_name;bytes
1437;|Hilo:TLOZLINK/@comment-4353587-20130610040938/@comment-16487266-20130610084028|;1201;2431;2013-08-25T16:15:34Z;22439;|Wikia|;94
1438;|Hilo:TLOZLINK/@comment-4353587-20130610040938/@comment-16487266-20130616210744|;1201;2433;2013-08-25T16:15:34Z;22439;|Wikia|;94
1439;|Hilo:TLOZLINK/@comment-4353587-20130610040938/@comment-4353587-20130615180537|;1201;2435;2013-08-25T16:15:34Z;22439;|Wikia|;89
1440;|Hilo:TLOZLINK/@comment-4353587-20130610040938/@comment-4353587-20130625213954|;1201;2437;2013-08-25T16:15:35Z;22439;|Wikia|;89
1434;|Hilo:TLOZLINK/@comment-4353587-20130610040938/@comment-5952074-20130615180106|;1201;2425;2013-08-25T16:15:34Z;22439;|Wikia|;94
1435;|Hilo:TLOZLINK/@comment-4353587-20130610040938/@comment-5952074-20130625223959|;1201;2427;2013-08-25T16:15:34Z;22439;|Wikia|;94
1436;|Hilo:TLOZLINK/@comment-4353587-20130610040938/@comment-5952074-20130625224435|;1201;2429;2013-08-25T16:15:34Z;22439;|Wikia|;94
1348;|Hilo:TLOZLINK/@comment-5806268-20130601170544|;1201;2253;2013-08-25T16:15:26Z;22439;|Wikia|;68
1355;|Hilo:TLOZLINK/@comment-5806268-20130601170544/@comment-16487266-20130602101203|;1201;2267;2013-08-25T16:15:26Z;22439;|Wikia|;101
1352;|Hilo:TLOZLINK/@comment-5806268-20130601170544/@comment-5952074-20130604200722|;1201;2261;2013-08-25T16:15:26Z;22439;|Wikia|;101
1353;|Hilo:TLOZLINK/@comment-5806268-20130601170544/@comment-5952074-20130604201413|;1201;2263;2013-08-25T16:15:26Z;22439;|Wikia|;101
1354;|Hilo:TLOZLINK/@comment-5806268-20130601170544/@comment-5952074-20130604202512|;1201;2265;2013-08-25T16:15:26Z;22439;|Wikia|;101
1349;|Hilo:TLOZLINK/@comment-5806268-20130601170544/@comment-7426511-20130601190921|;1201;2255;2013-08-25T16:15:26Z;22439;|Wikia|;105
1350;|Hilo:TLOZLINK/@comment-5806268-20130601170544/@comment-7426511-20130604201118|;1201;2257;2013-08-25T16:15:26Z;22439;|Wikia|;105
1351;|Hilo:TLOZLINK/@comment-5806268-20130601170544/@comment-7426511-20130604201830|;1201;2259;2013-08-25T16:15:26Z;22439;|Wikia|;105
1356;|Hilo:TLOZLINK/@comment-5908766-20130516021350|;1201;2269;2013-08-25T16:15:27Z;22439;|Wikia|;64
1357;|Hilo:TLOZLINK/@comment-5908766-20130516021350/@comment-16487266-20130516140515|;1201;2271;2013-08-25T16:15:27Z;22439;|Wikia|;97
1358;|Hilo:TLOZLINK/@comment-5908766-20130516220206|;1201;2273;2013-08-25T16:15:27Z;22439;|Wikia|;64
1359;|Hilo:TLOZLINK/@comment-5908766-20130516220206/@comment-16487266-20130517133423|;1201;2275;2013-08-25T16:15:27Z;22439;|Wikia|;97
1360;|Hilo:TLOZLINK/@comment-5908766-20130518231656|;1201;2277;2013-08-25T16:15:27Z;22439;|Wikia|;64
1364;|Hilo:TLOZLINK/@comment-5908766-20130518231656/@comment-16487266-20130520115250|;1201;2285;2013-08-25T16:15:27Z;22439;|Wikia|;97
1363;|Hilo:TLOZLINK/@comment-5908766-20130518231656/@comment-5908766-20130519005105|;1201;2283;2013-08-25T16:15:27Z;22439;|Wikia|;95
1361;|Hilo:TLOZLINK/@comment-5908766-20130518231656/@comment-9826118-20130518234606|;1201;2279;2013-08-25T16:15:27Z;22439;|Wikia|;97
1362;|Hilo:TLOZLINK/@comment-5908766-20130518231656/@comment-9826118-20130519015846|;1201;2281;2013-08-25T16:15:27Z;22439;|Wikia|;97
1365;|Hilo:TLOZLINK/@comment-5908766-20130529042658|;1201;2287;2013-08-25T16:15:27Z;22439;|Wikia|;64
1366;|Hilo:TLOZLINK/@comment-5908766-20130529042658/@comment-16487266-20130529144306|;1201;2289;2013-08-25T16:15:27Z;22439;|Wikia|;97
1367;|Hilo:TLOZLINK/@comment-5908766-20130529042658/@comment-16487266-20130601162147|;1201;2291;2013-08-25T16:15:28Z;22439;|Wikia|;97
1368;|Hilo:TLOZLINK/@comment-5908766-20130605220357|;1201;2293;2013-08-25T16:15:28Z;22439;|Wikia|;64
1382;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-16487266-20130606130857|;1201;2321;2013-08-25T16:15:29Z;22439;|Wikia|;97
1383;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-16487266-20130607122450|;1201;2323;2013-08-25T16:15:29Z;22439;|Wikia|;97
1384;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-16487266-20130608112246|;1201;2325;2013-08-25T16:15:29Z;22439;|Wikia|;97
1369;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-201.138.133.77-20130607221743|;1201;2295;2013-08-25T16:15:28Z;22439;|Wikia|;103
1374;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5908766-20130606003010|;1201;2305;2013-08-25T16:15:28Z;22439;|Wikia|;95
1375;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5908766-20130607013742|;1201;2307;2013-08-25T16:15:28Z;22439;|Wikia|;95
1376;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5908766-20130607015916|;1201;2309;2013-08-25T16:15:28Z;22439;|Wikia|;95
1377;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5908766-20130607224549|;1201;2311;2013-08-25T16:15:29Z;22439;|Wikia|;95
1378;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5952074-20130606210745|;1201;2313;2013-08-25T16:15:29Z;22439;|Wikia|;97
1379;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5952074-20130607021234|;1201;2315;2013-08-25T16:15:29Z;22439;|Wikia|;97
1380;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5952074-20130607021847|;1201;2317;2013-08-25T16:15:29Z;22439;|Wikia|;97
1381;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-5952074-20130607235741|;1201;2319;2013-08-25T16:15:29Z;22439;|Wikia|;97
1370;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-7426511-20130605222103|;1201;2297;2013-08-25T16:15:28Z;22439;|Wikia|;101
1371;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-7426511-20130606005055|;1201;2299;2013-08-25T16:15:28Z;22439;|Wikia|;101
1372;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-7426511-20130607021347|;1201;2301;2013-08-25T16:15:28Z;22439;|Wikia|;101
1373;|Hilo:TLOZLINK/@comment-5908766-20130605220357/@comment-7426511-20130608003526|;1201;2303;2013-08-25T16:15:28Z;22439;|Wikia|;101
1385;|Hilo:TLOZLINK/@comment-5908766-20130607223628|;1201;2327;2013-08-25T16:15:29Z;22439;|Wikia|;64
1389;|Hilo:TLOZLINK/@comment-5908766-20130607223628/@comment-16487266-20130608111815|;1201;2335;2013-08-25T16:15:30Z;22439;|Wikia|;97
1387;|Hilo:TLOZLINK/@comment-5908766-20130607223628/@comment-5952074-20130608000305|;1201;2331;2013-08-25T16:15:30Z;22439;|Wikia|;97
1388;|Hilo:TLOZLINK/@comment-5908766-20130607223628/@comment-5952074-20130608024715|;1201;2333;2013-08-25T16:15:30Z;22439;|Wikia|;97
1386;|Hilo:TLOZLINK/@comment-5908766-20130607223628/@comment-7426511-20130608003100|;1201;2329;2013-08-25T16:15:29Z;22439;|Wikia|;101
1390;|Hilo:TLOZLINK/@comment-5908766-20130610035111|;1201;2337;2013-08-25T16:15:30Z;22439;|Wikia|;64
1391;|Hilo:TLOZLINK/@comment-5908766-20130611203028|;1201;2339;2013-08-25T16:15:30Z;22439;|Wikia|;64
1394;|Hilo:TLOZLINK/@comment-5908766-20130611203028/@comment-16487266-20130613134606|;1201;2345;2013-08-25T16:15:30Z;22439;|Wikia|;97
1392;|Hilo:TLOZLINK/@comment-5908766-20130611203028/@comment-5908766-20130612031019|;1201;2341;2013-08-25T16:15:30Z;22439;|Wikia|;95
1393;|Hilo:TLOZLINK/@comment-5908766-20130611203028/@comment-5952074-20130612011248|;1201;2343;2013-08-25T16:15:30Z;22439;|Wikia|;97
1417;|Hilo:TLOZLINK/@comment-5952074-20130521225721|;1201;2391;2013-08-25T16:15:32Z;22439;|Wikia|;66
1419;|Hilo:TLOZLINK/@comment-5952074-20130521225721/@comment-16487266-20130522123754|;1201;2395;2013-08-25T16:15:33Z;22439;|Wikia|;99
1420;|Hilo:TLOZLINK/@comment-5952074-20130521225721/@comment-16487266-20130523141938|;1201;2397;2013-08-25T16:15:33Z;22439;|Wikia|;99
1418;|Hilo:TLOZLINK/@comment-5952074-20130521225721/@comment-5952074-20130522201519|;1201;2393;2013-08-25T16:15:32Z;22439;|Wikia|;99
1421;|Hilo:TLOZLINK/@comment-5952074-20130615180153|;1201;2399;2013-08-25T16:15:33Z;22439;|Wikia|;66
1429;|Hilo:TLOZLINK/@comment-5952074-20130615180153/@comment-16487266-20130616210546|;1201;2415;2013-08-25T16:15:33Z;22439;|Wikia|;99
1425;|Hilo:TLOZLINK/@comment-5952074-20130615180153/@comment-5909808-20130617180232|;1201;2407;2013-08-25T16:15:33Z;22439;|Wikia|;100
1426;|Hilo:TLOZLINK/@comment-5952074-20130615180153/@comment-5909808-20130617181859|;1201;2409;2013-08-25T16:15:33Z;22439;|Wikia|;100
1427;|Hilo:TLOZLINK/@comment-5952074-20130615180153/@comment-5952074-20130616013601|;1201;2411;2013-08-25T16:15:33Z;22439;|Wikia|;99
1428;|Hilo:TLOZLINK/@comment-5952074-20130615180153/@comment-5952074-20130617180950|;1201;2413;2013-08-25T16:15:33Z;22439;|Wikia|;99
1422;|Hilo:TLOZLINK/@comment-5952074-20130615180153/@comment-7426511-20130615205916|;1201;2401;2013-08-25T16:15:33Z;22439;|Wikia|;103
